Minorista,Minorista ID,Fecha_Venta,Region,Estado,Ciudad,Producto,Precio_por_Unidad,Unidades_Vendidas,Total_Ventas,Ganancia_Operativa,Metodo_Venta
Éxito,1128299,2024-11-13,Caribe,Atlántico,Barranquilla,Ropa de mujer,882900.0,218,4894972.0,893299.93,Online
Plaza Sport,1128299,2024-12-12,Caribe,Bolívar,Cartagena,Ropa de mujer,882900.0,163,2736607.0,593937.46,Online
Decathlon,1197831,2025-01-21,Andina,Tolima,Ibagué,Calzado urbano para hombre,85700.0,700,4900000.0,821686.73,Outlet
Decathlon,1197831,2025-01-23,Andina,Tolima,Ibagué,Calzado urbano para mujer,128600.0,575,4959375.0,1276310.46,Outlet
Decathlon,1197831,2025-01-17,Andina,Tolima,Ibagué,Calzado urbano para mujer,128600.0,475,3384375.0,655526.12,Outlet
Plaza Sport,1185732,2024-06-09,Andina,Santander,Bucaramanga,Calzado urbano para mujer,128600.0,475,3384375.0,529317.57,In-store
Decathlon,1185732,2025-04-15,Caribe,Magdalena,Santa Marta,Calzado deportivo para hombre,171400.0,450,4050000.0,651750.99,Online
Decathlon,1197831,2024-06-21,Caribe,Magdalena,Santa Marta,Calzado urbano para mujer,128600.0,450,3037500.0,563242.65,Online
Plaza Sport,1185732,2024-08-30,Andina,Caldas,Manizales,Calzado urbano para hombre,171400.0,450,4050000.0,746698.06,In-store
Nike Store,1185732,2023-08-07,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,377100.0,434,8287664.0,1786492.31,Outlet
Nike Store,1185732,2024-06-16,Andina,Boyacá,Tunja,Calzado urbano para mujer,171400.0,425,3612500.0,558826.36,In-store
Plaza Sport,1185732,2024-07-10,Andina,Santander,Bucaramanga,Calzado urbano para mujer,128600.0,425,2709375.0,533153.11,In-store
Plaza Sport,1185732,2024-11-07,Andina,Tolima,Honda,Calzado urbano para mujer,171400.0,425,3612500.0,938624.98,In-store
Mercado Libre,1185732,2024-09-06,Andina,Risaralda,Pereira,Calzado urbano para mujer,171400.0,425,3612500.0,826512.49,Online
Nike Store,1185732,2024-08-12,Caribe,Magdalena,Santa Marta,Calzado urbano para mujer,128600.0,425,2709375.0,581109.39,Online
Éxito,1185732,2025-02-12,Caribe,Magdalena,Santa Marta,Calzado urbano para mujer,171400.0,425,3612500.0,852650.16,Online
Éxito,1197831,2024-07-20,Pacífica,Nariño,Pasto,Ropa de mujer,171400.0,425,3612500.0,602188.23,Online
Éxito,1197831,2025-03-19,Pacífica,Nariño,Pasto,Calzado deportivo para hombre,171400.0,425,3612500.0,705865.71,Online
Éxito,1185732,2023-09-30,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,411400.0,420,8467200.0,1836447.99,Outlet
Éxito,1185732,2023-09-16,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,334300.0,408,6492096.0,1546820.86,Outlet
Éxito,1185732,2023-09-24,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,394300.0,403,7470814.0,1274833.95,Outlet
Plaza Sport,1185732,2024-08-06,Andina,Tolima,Honda,Calzado urbano para mujer,171400.0,400,3200000.0,666953.72,In-store
Plaza Sport,1185732,2024-11-07,Andina,Tolima,Honda,Calzado deportivo para mujer,171400.0,400,3200000.0,512606.31,In-store
Plaza Sport,1185732,2025-03-09,Andina,Tolima,Honda,Calzado deportivo para hombre,171400.0,400,3200000.0,786170.4,In-store
Plaza Sport,1185732,2025-04-09,Andina,Tolima,Honda,Calzado deportivo para hombre,171400.0,400,3200000.0,505033.09,In-store
Éxito,1185732,2025-02-12,Caribe,Magdalena,Santa Marta,Calzado deportivo para mujer,171400.0,400,3200000.0,742654.27,Online
Decathlon,1197831,2024-07-20,Caribe,Magdalena,Santa Marta,Calzado urbano para mujer,128600.0,400,2400000.0,496629.07,Online
Nike Store,1185732,2023-08-01,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,402900.0,400,7520000.0,1416809.52,Outlet
Nike Store,1185732,2023-06-23,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,342900.0,390,6084000.0,1041831.87,Outlet
Nike Store,1185732,2023-06-05,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,282900.0,388,4967952.0,1246905.17,Outlet
Nike Store,1185732,2023-05-30,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,291400.0,384,5013504.0,758167.61,Outlet
Nike Store,1185732,2024-07-06,Andina,Cundinamarca,Soacha,Calzado urbano para hombre,265700.0,376,4382656.0,802710.32,Outlet
Decathlon,1197831,2025-01-18,Andina,Tolima,Ibagué,Calzado deportivo para mujer,171400.0,375,2812500.0,568421.39,Outlet
Nike Store,1185732,2024-07-17,Andina,Boyacá,Tunja,Calzado urbano para mujer,171400.0,375,2812500.0,565477.1,In-store
Plaza Sport,1185732,2025-01-07,Andina,Tolima,Honda,Calzado deportivo para mujer,171400.0,375,2812500.0,700246.33,In-store
Plaza Sport,1185732,2025-04-09,Andina,Tolima,Honda,Calzado deportivo para mujer,171400.0,375,2812500.0,454800.35,In-store
Nike Store,1185732,2024-09-13,Caribe,Magdalena,Santa Marta,Calzado urbano para mujer,128600.0,375,2109375.0,509634.57,Online
Plaza Sport,1197831,2025-04-18,Pacífica,Nariño,Pasto,Calzado deportivo para hombre,128600.0,375,2109375.0,512372.1,Online
Plaza Sport,1197831,2024-06-21,Pacífica,Nariño,Pasto,Calzado urbano para mujer,128600.0,375,2109375.0,484519.28,Online
Nike Store,1185732,2023-08-13,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,351400.0,375,5765625.0,921249.85,Outlet
Éxito,1197831,2024-01-23,Caribe,Atlántico,Soledad,Calzado urbano para mujer,248600.0,374,4056404.0,729429.75,Outlet
Éxito,1197831,2024-01-29,Caribe,Atlántico,Soledad,Calzado urbano para mujer,248600.0,374,4056404.0,648048.44,Outlet
Nike Store,1185732,2023-06-29,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,282900.0,372,4566672.0,1001614.58,Outlet
Nike Store,1185732,2023-07-05,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,377100.0,366,5894064.0,1458067.63,Outlet
Éxito,1185732,2023-09-16,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,480000.0,360,7257600.0,1516118.23,Online
Nike Store,1185732,2023-08-14,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para hombre,317100.0,359,4768597.0,726576.19,Outlet
Éxito,1185732,2023-09-15,Andina,Cundinamarca,Bogotá D.C.,Ropa de mujer,411400.0,355,6049200.0,1240884.7,Outlet
Nike Store,1185732,2023-06-23,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,394300.0,354,5764536.0,1144603.76,Online
Nike Store,1185732,2023-08-12,Andina,Cundinamarca,Bogotá D.C.,Ropa de mujer,402900.0,352,5823488.0,1324271.25,Outlet
Nike Store,1185732,2024-08-13,Andina,Santander,Bucaramanga,Calzado urbano para mujer,214300.0,350,3062500.0,524697.99,In-store
Nike Store,1185732,2024-11-14,Andina,Santander,Bucaramanga,Calzado deportivo para mujer,214300.0,350,3062500.0,748611.59,In-store
