"id";"Minorista";"Minorista_ID";"Fecha_Venta";"Region";"Departamento";"Ciudad";"Producto";"Precio_por_Unidad";"Unidades_Vendidas";"Total_Ventas";"Ganancia_Operativa";"Metodo_Venta"
1;"Éxito";1128299;"2024-11-13";"Caribe";"Atlántico";"Barranquilla";"Ropa de mujer";882900.0;218;4894972.0;893299.93;"Online"
2;"Plaza Sport";1128299;"2024-12-12";"Caribe";"Bolívar";"Cartagena";"Ropa de mujer";882900.0;163;2736607.0;593937.46;"Online"
3;"Decathlon";1197831;"2025-01-21";"Andina";"Tolima";"Ibagué";"Calzado urbano para hombre";85700.0;700;4900000.0;821686.73;"Outlet"
4;"Decathlon";1197831;"2025-01-23";"Andina";"Tolima";"Ibagué";"Calzado urbano para mujer";128600.0;575;4959375.0;1276310.46;"Outlet"
5;"Decathlon";1197831;"2025-01-17";"Andina";"Tolima";"Ibagué";"Calzado urbano para mujer";128600.0;475;3384375.0;655526.12;"Outlet"
6;"Plaza Sport";1185732;"2024-06-09";"Andina";"Santander";"Bucaramanga";"Calzado urbano para mujer";128600.0;475;3384375.0;529317.57;"In-store"
7;"Decathlon";1185732;"2025-04-15";"Caribe";"Magdalena";"Santa Marta";"Calzado deportivo para hombre";171400.0;450;4050000.0;651750.99;"Online"
8;"Decathlon";1197831;"2024-06-21";"Caribe";"Magdalena";"Santa Marta";"Calzado urbano para mujer";128600.0;450;3037500.0;563242.65;"Online"
9;"Plaza Sport";1185732;"2024-08-30";"Andina";"Caldas";"Manizales";"Calzado urbano para hombre";171400.0;450;4050000.0;746698.06;"In-store"
10;"Nike Store";1185732;"2023-08-07";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para hombre";377100.0;434;8287664.0;1786492.31;"Outlet"
11;"Nike Store";1185732;"2024-06-16";"Andina";"Boyacá";"Tunja";"Calzado urbano para mujer";171400.0;425;3612500.0;558826.36;"In-store"
12;"Plaza Sport";1185732;"2024-07-10";"Andina";"Santander";"Bucaramanga";"Calzado urbano para mujer";128600.0;425;2709375.0;533153.11;"In-store"
13;"Plaza Sport";1185732;"2024-11-07";"Andina";"Tolima";"Honda";"Calzado urbano para mujer";171400.0;425;3612500.0;938624.98;"In-store"
14;"Mercado Libre";1185732;"2024-09-06";"Andina";"Risaralda";"Pereira";"Calzado urbano para mujer";171400.0;425;3612500.0;826512.49;"Online"
15;"Nike Store";1185732;"2024-08-12";"Caribe";"Magdalena";"Santa Marta";"Calzado urbano para mujer";128600.0;425;2709375.0;581109.39;"Online"
16;"Éxito";1185732;"2025-02-12";"Caribe";"Magdalena";"Santa Marta";"Calzado urbano para mujer";171400.0;425;3612500.0;852650.16;"Online"
17;"Éxito";1197831;"2024-07-20";"Pacífica";"Nariño";"Pasto";"Ropa de mujer";171400.0;425;3612500.0;602188.23;"Online"
18;"Éxito";1197831;"2025-03-19";"Pacífica";"Nariño";"Pasto";"Calzado deportivo para hombre";171400.0;425;3612500.0;705865.71;"Online"
19;"Éxito";1185732;"2023-09-30";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para hombre";411400.0;420;8467200.0;1836447.99;"Outlet"
